,date,snow,price
992,2019-01-16,0,5335
993,2019-01-17,0,5568
994,2019-01-18,0,5913
995,2019-01-21,0,6708
996,2019-01-22,0,6843
997,2019-01-23,0,6923
998,2019-01-24,0,6960
999,2019-01-25,0,6956
1000,2019-01-28,0,7224
1001,2019-01-29,0,7600
1002,2019-01-30,0,7926
1003,2019-01-31,0,8081
1004,2019-02-01,0,8230
1005,2019-02-07,0,8780
1006,2019-02-08,0,8715
1007,2019-02-11,0,8975
1008,2019-02-12,0,9075
1009,2019-02-13,0,9161
1010,2019-02-14,0,9088
1011,2019-02-15,1.5,8902
1012,2019-02-18,0,8566
1013,2019-02-19,1,8508
1014,2019-02-20,0,8356
1015,2019-02-21,0,8124
1016,2019-02-22,0,7908
1017,2019-02-25,0,7649
1018,2019-02-26,0,7497
1019,2019-02-27,0,7499
1020,2019-02-28,0,7611
1021,2019-03-04,0,7410
1022,2019-03-05,0,7450
1023,2019-03-06,0,7387
1024,2019-03-07,0,7227
1025,2019-03-08,0,7057
1026,2019-03-11,0,6315
1027,2019-03-12,0,6162
1028,2019-03-13,0,5995
1029,2019-03-14,0,5883
1030,2019-03-15,0,5919
1031,2019-03-18,0,5884
1032,2019-03-19,0,5982
1033,2019-03-20,0,6067
1034,2019-03-21,0,5932
1035,2019-03-22,0,5767
1036,2019-03-25,0,5460
1037,2019-03-26,0,5315
1038,2019-03-27,0,5165
1039,2019-03-28,0,5040
1040,2019-03-29,0,4980
1041,2019-04-01,0,4750
1042,2019-04-02,0,4792
1043,2019-04-03,0,4824
1044,2019-04-04,0,4810
1045,2019-04-05,0,4742
1046,2019-04-08,0,4487
1047,2019-04-09,0,4466
1048,2019-04-10,0,4571
1049,2019-04-11,0,4612
1050,2019-04-12,0,4625
1051,2019-04-15,0,4944
1052,2019-04-16,0,4954
1053,2019-04-17,0,5004
1054,2019-04-18,0,5063
1055,2019-04-19,0,5068
1056,2019-04-22,0,5067
1057,2019-04-23,0,5120
1058,2019-04-24,0,5152
1059,2019-04-25,0,5137
1060,2019-04-26,0,5153
1061,2019-04-29,0,5302
1062,2019-04-30,0,5318
1063,2019-05-02,0,5360
1064,2019-05-03,0,5397
1065,2019-05-07,0,5419
1066,2019-05-08,0,5326
1067,2019-05-09,0,5293
1068,2019-05-10,0,5264
1069,2019-05-13,0,4820
1070,2019-05-14,0,4686
1071,2019-05-15,0,4575
1072,2019-05-16,0,4459
1073,2019-05-17,0,4337
1074,2019-05-20,0,4133
1075,2019-05-21,0,4150
1076,2019-05-22,0,4188
1077,2019-05-23,0,4221
1078,2019-05-24,0,4272
1079,2019-05-27,0,4303
1080,2019-05-28,0,4284
1081,2019-05-29,0,4259
1082,2019-05-30,0,4187
1083,2019-05-31,0,4147
1084,2019-06-03,0,3948
1085,2019-06-04,0,3924
1086,2019-06-05,0,3968
1087,2019-06-07,0,3980
1088,2019-06-10,0,3845
1089,2019-06-11,0,3871
1090,2019-06-12,0,3814
1091,2019-06-13,0,3690
1092,2019-06-14,0,3623
1093,2019-06-17,0,3595
1094,2019-06-18,0,3588
1095,2019-06-19,0,3583
1096,2019-06-20,0,3605
1097,2019-06-21,0,3635
1098,2019-06-24,0,3650
1099,2019-06-25,0,3622
1100,2019-06-26,0,3637
1101,2019-06-27,0,3665
1102,2019-06-28,0,3711
1103,2019-07-01,0,3834
1104,2019-07-02,0,3847
1105,2019-07-03,0,3834
1106,2019-07-04,0,3817
1107,2019-07-05,0,3853
1108,2019-07-08,0,3833
1109,2019-07-09,0,3854
1110,2019-07-10,0,3908
1111,2019-07-11,0,4010
1112,2019-07-12,0,4083
1113,2019-07-15,0,4302
1114,2019-07-16,0,4340
1115,2019-07-17,0,4411
