date,sun,price
2017-07-03,14.8,640
2017-07-04,10.54,620
2017-07-05,20.04,630
2017-07-06,14.65,590
2017-07-07,12.38,580
2017-07-10,8.28,600
2017-07-11,20.57,620
2017-07-12,24.97,620
2017-07-13,27.5,620
2017-07-14,18.7,620
2017-07-17,9.01,700
2017-07-18,6.44,700
2017-07-19,20.2,710
2017-07-20,24.43,680
2017-07-21,21.57,700
2017-07-24,10.3,880
2017-07-25,18.2,860
2017-07-26,22.71,930
2017-07-27,22.24,930
2017-07-28,14.88,970
2017-07-31,4.14,930
2017-08-01,21.01,920
2017-08-02,19.09,1030
2017-08-03,24.58,1040
2017-08-04,21.93,1030
2017-08-07,25.76,1055
2017-08-08,14.36,1050
2017-08-09,7.46,1035
2017-08-10,18.28,1045
2017-08-11,23.3,1180
2017-08-14,6.63,1160
2017-08-16,15.82,1150
2017-08-17,18.91,1150
2017-08-18,19.86,1150
2017-08-21,7.99,1140
2017-08-22,15.63,1120
2017-08-23,21.69,1060
2017-08-24,17.62,1060
2017-08-25,15.47,1130
2017-08-28,10.18,1110
2017-08-29,25.44,1080
2017-08-30,8.76,1070
2017-08-31,24.58,1020
2017-09-01,25.46,990
2017-09-04,17.02,1060
2017-09-05,3.34,1030
2017-09-06,4.28,1010
2017-09-07,17.54,990
2017-09-08,17.28,980
2017-09-11,5.86,980
2017-09-12,20.2,1010
2017-09-13,23.77,950
2017-09-14,23.74,940
2017-09-15,18,910
2017-09-18,20.19,850
2017-09-19,13.55,810
2017-09-20,16.46,810
2017-09-21,20.68,790
2017-09-22,21.65,760
2017-09-25,17.43,720
2017-09-26,19.07,670
2017-09-27,4.15,670
2017-09-28,18.69,660
2017-09-29,12.75,650
2017-10-10,14.02,650
2017-10-11,1.87,650
2017-10-12,2.27,620
2017-10-13,18.44,610
2017-10-16,8.72,490
2017-10-17,14.31,440
2017-10-18,6.11,420
2017-10-19,14.83,430
2017-10-20,17.32,440
2017-10-23,16.11,433
2017-10-24,10.96,433
2017-10-25,15.39,423
2017-10-26,12.43,423
2017-10-27,12.83,423
2017-10-30,15.97,415
2017-10-31,16.12,405
2017-11-01,9.97,405
2017-11-02,10.4,405
2017-11-03,6.31,435
2017-11-06,14.16,455
2017-11-07,9.68,445
2017-11-08,11.08,445
2017-11-09,13.23,425
2017-11-10,6.59,425
2017-11-13,6.51,425
2017-11-14,11.79,415
2017-11-15,9.14,410
2017-11-16,13.18,420
2017-11-17,5.51,420
2017-11-20,12.16,420
2017-11-21,12.5,430
2017-11-22,3.22,430
2017-11-23,6.18,430
2017-11-24,6.8,490
2017-11-27,10.99,480
2017-11-28,5.51,480
2017-11-29,8.78,470
2017-11-30,11.95,480
2017-12-04,9.06,450
2017-12-05,11.86,435
2017-12-06,9.81,435
2017-12-07,4.67,440
2017-12-08,10.77,460
2017-12-11,5.09,470
2017-12-12,11.58,470
2017-12-13,11.71,470
2017-12-14,9.64,455
2017-12-15,8.12,435
2017-12-18,6.26,468
2017-12-19,8.39,468
2017-12-20,10.5,468
2017-12-21,9.47,468
2017-12-22,5.36,468
2017-12-26,7.54,510
2017-12-27,11.77,490
2017-12-28,5.62,480
2017-12-29,3.25,480
2018-01-02,5.98,432
2018-01-03,10.99,459
2018-01-04,8.16,468
2018-01-05,10.54,468
2018-01-08,1.89,468
2018-01-09,5.94,469
2018-01-10,5.41,461
2018-01-11,4.29,471
2018-01-12,7.79,451
2018-01-15,9.18,440
2018-01-16,2.68,450
2018-01-17,4.89,450
2018-01-18,7.41,440
2018-01-19,9.58,440
2018-01-22,7.52,440
2018-01-23,12.86,440
2018-01-24,13.82,440
2018-01-25,13.06,440
2018-01-26,14.41,440
2018-01-29,12.54,480
2018-01-30,13.25,525
2018-01-31,9,575
