date,place,ondo,price
2018-03-05,100,-5,860
2018-03-06,100,-6,880
2018-03-07,100,-1.4,880
2018-03-08,100,-1.8,870
2018-03-09,100,-3.8,870
2018-03-12,100,4.1,920
2018-03-13,100,8.5,860
2018-03-14,100,11.7,890
2018-03-15,100,7.1,880
2018-03-16,100,-5.7,830
2018-03-19,100,0.3,830
2018-03-20,100,-4.4,820
2018-03-21,100,-4.4,840
2018-03-22,100,-1.4,900
2018-03-23,100,2.2,920
2018-03-26,100,9.2,920
2018-03-27,100,9.9,910
2018-03-28,100,11.6,890
2018-03-29,100,6.9,860
2018-03-30,100,6.1,850
2018-04-02,100,14,850
2018-04-03,100,11.3,850
2018-04-04,100,0.6,820
2018-04-05,100,0.7,830
2018-04-06,100,1.9,790
2018-04-09,100,2.9,800
2018-04-10,100,11.4,830
2018-04-11,100,9.7,830
2018-04-12,100,9.3,840
2018-04-13,100,5.8,820
2018-04-16,100,5.5,830
2018-04-17,100,6.9,840
2018-04-18,100,9.9,810
2018-04-19,100,13.2,800
2018-04-20,100,16.2,800
2018-04-23,100,3.8,820
2018-04-24,100,4.3,820
2018-04-25,100,8.2,820
2018-04-26,100,10.9,790
2018-04-27,100,8.5,780
2018-04-30,100,14.4,800
2018-05-02,100,6.4,800
2018-05-03,100,4.7,780
2018-05-04,100,8.9,790
2018-05-08,100,6.3,720
2018-05-09,100,4.1,705
2018-05-10,100,11.2,705
2018-05-11,100,14.2,670
2018-05-14,100,16.1,663
2018-05-15,100,20.5,678
2018-05-16,100,19.7,678
2018-05-17,100,16.9,678
2018-05-18,100,6.6,675
2018-05-21,100,8.7,600
2018-05-23,100,14.1,540
2018-05-24,100,15.7,530
2018-05-25,100,16.7,530
2018-05-28,100,15.4,520
2018-05-29,100,17.9,520
2018-05-30,100,15.5,520
2018-05-31,100,13.8,510
2018-06-01,100,16.5,510
2018-06-04,100,18.3,490
2018-06-05,100,17.8,490
2018-06-07,100,21,490
2018-06-08,100,18.1,490
2018-06-11,100,10.4,500
2018-06-12,100,11.3,490
2018-06-14,100,13.1,550
2018-06-15,100,11.2,560
2018-06-18,100,18.4,600
2018-06-19,100,17.7,600
2018-06-20,100,18.4,590
2018-06-21,100,17.3,580
2018-06-22,100,18.8,590
2018-06-25,100,21,640
2018-06-26,100,18.3,650
