date,gangsu,ondo,snow,price
2016-11-11,0.6,8.4,0,840
2016-11-14,0.1,15,0,870
2016-11-15,0,9.6,0,880
2016-11-16,0,5.2,0,880
2016-11-17,0,9.6,0,900
2016-11-18,5,9.7,0,890
2016-11-21,0,11.2,0,920
2016-11-22,0,6.5,0,940
2016-11-23,0,2.6,0,930
2016-11-24,0,0.5,0,910
2016-11-25,0,2.2,0,910
2016-11-28,0,3.5,0,910
2016-11-29,0,2.3,0,910
2016-11-30,3.6,4.1,0,1000
2016-12-01,0.6,4.9,0,1050
2016-12-05,0,7.5,0,1140
2016-12-06,0,1.6,0,1110
2016-12-07,0.2,-1.8,0,1170
2016-12-08,0.2,2.1,0,1170
2016-12-09,2,4,0,1200
2016-12-12,0,3.2,0,1210
2016-12-13,0,6.2,0,1230
2016-12-14,0,-0.1,0,1270
2016-12-15,0,-1.8,0,1375
2016-12-16,0,-2.6,0,1390
2016-12-19,3.9,7.5,0,1365
2016-12-20,0,8.6,0,1375
2016-12-21,11.3,9.1,0,1435
2016-12-22,12.2,8.4,0,1420
2016-12-23,3.3,1.3,0.2,1450
2016-12-26,12.5,4.8,0,1340
2016-12-27,0,1,0,1290
2016-12-28,0,-2.3,0,1255
2016-12-29,0.3,-2.9,0.3,1255
2016-12-30,0,-2.8,0,1200
2017-01-02,0.4,4,0,1190
2017-01-03,0,2.2,0,1250
2017-01-04,0,1.5,0,1260
2017-01-05,0.1,4.4,0,1260
2017-01-06,0,6.8,0,1190
2017-01-09,0.3,3.3,0,1130
2017-01-10,0,0.5,0,1130
2017-01-11,0,-1.9,0,1070
2017-01-12,0.2,-0.3,0,1000
2017-01-13,1.1,-3.1,0,970
2017-01-16,0,-4.3,0,970
2017-01-17,0,-2.4,0,990
2017-01-18,0,0.3,0,996
2017-01-19,0,-0.4,0,1040
2017-01-20,5.7,-2.6,2.5,1040
2017-01-23,0,-7.4,3.5,990
2017-01-24,0,-4.9,0,990
2017-01-25,0,-4.7,0,990
2017-01-26,0,-2.6,0,990
2017-01-31,0,-2.9,0,970
2017-02-01,0,-1.5,0,1000
2017-02-02,0,-2.6,0,1040
2017-02-03,0,0.6,0,1040
2017-02-06,0,0.3,0,1010
2017-02-07,0,-0.2,0,1000
2017-02-08,0.3,0.5,0,1000
2017-02-09,0.6,-2.6,0,980
2017-02-10,0.9,-4.7,0,970
2017-02-13,0,0.9,0,980
2017-02-14,0,1.8,0,960
2017-02-15,0,1.9,0,960
2017-02-16,3.3,6.3,0,950
2017-02-17,0.4,4.9,0,870
2017-02-20,12.4,2.8,0,920
2017-02-21,0,0.8,0,860
2017-02-22,29,4.7,0,850
2017-02-23,0,0.4,0,840
2017-02-24,0,-0.8,0,840
2017-02-27,0,3.3,0,940
2017-02-28,0,4,0,940
2017-03-02,2.5,1.1,0,940
2017-03-03,0,2.8,0,910
2017-03-06,0,2,0,890
2017-03-07,0.9,-1.5,3.5,890
2017-03-08,0.4,0.6,0.6,880
2017-03-09,0,4.6,0,830
2017-03-10,0,4.6,0,830
2017-03-13,0,7.4,0,790
2017-03-14,0,4.2,0,830
2017-03-15,0,4,0,800
2017-03-16,0,4.7,0,810
2017-03-17,0,6.4,0,790
2017-03-20,5.8,7.1,0,790
2017-03-21,2.2,6,0,830
2017-03-22,0,5.8,0,800
2017-03-23,0,8,0,780
2017-03-24,0,7.7,0,810
2017-03-27,0.8,4.5,0,830
2017-03-28,1.8,6.4,0,850
2017-03-29,1.5,7,0,870
2017-03-30,0,11.1,0,850
2017-03-31,0.7,9.9,0,830
2017-04-03,0,9.1,0,770
2017-04-04,0,13,0,760
2017-04-05,17.1,13.4,0,750
2017-04-06,14,14.2,0,790
2017-04-07,0,14.7,0,800
2017-04-10,0,14.9,0,800
2017-04-11,13.1,11.3,0,790
2017-04-12,0,10.3,0,790
2017-04-13,0,10.9,0,790
2017-04-14,0.4,13.5,0,810
2017-04-17,10.5,13.8,0,790
2017-04-18,0.5,13.4,0,770
2017-04-19,0,11.6,0,800
2017-04-20,0.7,10.9,0,840
2017-04-21,0,12.6,0,810
2017-04-24,0,14.9,0,740
2017-04-25,5.4,16.8,0,780
2017-04-26,1.1,14.4,0,800
2017-04-27,0,11.2,0,810
2017-04-28,0,13.9,0,820
2017-05-02,0,17.7,0,810
2017-05-04,0.4,19.1,0,860
2017-05-08,0,16.7,0,860
2017-05-10,1.4,14.5,0,860
2017-05-11,1.9,18.8,0,880
2017-05-12,0.4,16.9,0,890
2017-05-15,0,14.4,0,850
2017-05-16,0,15.3,0,850
2017-05-17,0,16.9,0,850
2017-05-18,0,18.9,0,850
2017-05-19,0,19.8,0,820
2017-05-22,0,20.7,0,760
2017-05-23,0,20.2,0,760
2017-05-24,2.2,20.4,0,760
2017-05-25,0,18.7,0,720
2017-05-26,0,14.6,0,670
2017-05-29,0,22.8,0,610
2017-05-30,0,21.9,0,620
2017-05-31,0.1,20.9,0,630
2017-06-01,0,20.7,0,640
2017-06-02,0,18.6,0,640
2017-06-05,0,20.8,0,660
2017-06-07,0.6,18.2,0,640
2017-06-08,0,19.4,0,640
2017-06-09,0,20.8,0,640
2017-06-12,0,21.1,0,570
2017-06-13,3.4,18.8,0,590
2017-06-14,0,19.8,0,590
2017-06-15,0,21.3,0,580
2017-06-16,0,23.5,0,560
2017-06-19,0,24.2,0,630
2017-06-20,0,22,0,610
2017-06-21,0,23.7,0,570
2017-06-22,0,24.6,0,590
2017-06-23,0,25.3,0,640
2017-06-26,0,23.6,0,590
2017-06-27,0,23.8,0,640
2017-06-28,0.1,24.8,0,650
2017-06-29,0.6,24,0,630
2017-06-30,11.3,23.9,0,590
2017-07-03,6.4,26.7,0,640
2017-07-04,7.3,25.5,0,620
2017-07-05,0,26.9,0,630
2017-07-06,4.5,25.1,0,590
2017-07-07,1.8,26.2,0,580
2017-07-10,0.8,27.9,0,600
2017-07-11,0.7,26.8,0,620
2017-07-12,0,28.1,0,620
2017-07-13,0,27.3,0,620
2017-07-14,20.2,23.7,0,620
2017-07-17,8.1,25.2,0,700
2017-07-18,4.5,24.7,0,700
2017-07-19,0,27.6,0,710
2017-07-20,0,28.1,0,680
2017-07-21,0,29.4,0,700
2017-07-24,0,28.7,0,880
2017-07-25,18.1,27.9,0,860
2017-07-26,0,27.2,0,930
2017-07-27,0,27,0,930
2017-07-28,0,27.4,0,970
2017-07-31,12.8,24.9,0,930
2017-08-01,0,27.5,0,920
2017-08-02,0.2,27.2,0,1030
2017-08-03,0,27.2,0,1040
2017-08-04,0,28.8,0,1030
2017-08-07,0,28.2,0,1055
2017-08-08,0,27,0,1050
2017-08-09,14.6,25.5,0,1035
2017-08-10,0,26.7,0,1045
2017-08-11,0,26.6,0,1180
2017-08-14,21.2,22.5,0,1160
2017-08-16,0.3,25.9,0,1150
2017-08-17,0,26.2,0,1150
2017-08-18,0,25.1,0,1150
2017-08-21,67.7,23.9,0,1140
2017-08-22,20,25.3,0,1120
2017-08-23,0,27.3,0,1060
2017-08-24,0.6,27.9,0,1060
2017-08-25,3.5,26.3,0,1130
2017-08-28,0,24,0,1110
2017-08-29,25.2,22.6,0,1080
2017-08-30,0,19.2,0,1070
2017-08-31,0,20.8,0,1020
2017-09-01,0,22,0,990
2017-09-04,0,21.3,0,1060
2017-09-05,0.3,20.6,0,1030
2017-09-06,22.4,20.4,0,1010
2017-09-07,0.2,21,0,990
2017-09-08,0,21.4,0,980
2017-09-11,82.1,20.3,0,980
2017-09-12,0,21.7,0,1010
2017-09-13,0,19.5,0,950
2017-09-14,0,20.4,0,940
2017-09-15,0,20.9,0,910
2017-09-18,0,19.7,0,850
2017-09-19,0,21.5,0,810
2017-09-20,0,19.6,0,810
2017-09-21,0,17.9,0,790
2017-09-22,0,19.3,0,760
2017-09-25,0,21.2,0,720
2017-09-26,0,22.8,0,670
2017-09-27,12.6,19.2,0,670
2017-09-28,0,18.6,0,660
2017-09-29,0,14.7,0,650
2017-10-10,0,21.3,0,650
2017-10-11,4,17.5,0,650
2017-10-12,20.4,12.3,0,620
2017-10-13,0,12.7,0,610
2017-10-16,0,15.9,0,490
