date,uga,sun,ondo,price
2017-06-09,46.46,23.59,20.8,1140
2017-06-12,47.02,16.71,20.7,1110
2017-06-13,47.3,19.83,20.3,1090
2017-06-14,46.84,24.75,20.4,1110
2017-06-15,45.37,22.94,21.3,1080
2017-06-16,45.88,22.89,22.6,1070
2017-06-19,45.68,22,23.8,1070
2017-06-20,45.62,6.08,22.6,1070
2017-06-21,44.32,15.83,22.5,1060
2017-06-22,43.5,21.86,23.6,1040
2017-06-23,44.17,18.62,23.8,1040
2017-06-26,45.265,10.18,24.1,1060
2017-06-27,45.03,14.11,24.2,1070
2017-06-28,45.3,18.15,24.4,1090
2017-06-29,46.36,8.67,23.4,1080
2017-06-30,46.47,7.14,23.6,1070
2017-07-03,47.62,10.52,27,1140
2017-07-04,48.43,12.02,25.9,1160
2017-07-05,48.34,20.55,27.4,1180
2017-07-06,47.07,4.07,25.4,1170
2017-07-07,46.05,15.57,27.2,1135
2017-07-10,45.24,7.13,26.8,1165
2017-07-11,45.27,11.69,25.2,1170
2017-07-12,46.82,22.96,26,1190
2017-07-13,46.1,22.4,26.9,1190
2017-07-14,46.99,13.43,27.3,1180
2017-07-17,47.65,8.95,27,1180
2017-07-18,47.2,6.16,25.1,1210
2017-07-19,47.41,19.24,26.8,1220
2017-07-20,48.33,20.98,29,1210
2017-07-21,48.17,19.89,29.6,1240
2017-07-24,46.51,17.98,29.2,1260
2017-07-25,47.3,15.19,27.9,1260
2017-07-26,49.05,16.59,27.9,1260
2017-07-27,49.35,22.83,28.1,1250
2017-07-28,49.72,20.1,28.2,1250
2017-07-31,50.38,7.18,26.9,1250
2017-08-01,51.22,19.54,29.5,1260
2017-08-02,50.29,18.95,29.4,1250
