date,snow,price
2019-03-12,0,380
2019-03-13,0,380
2019-03-14,0,380
2019-03-15,0,380
2019-03-18,0,380
2019-03-19,0,376
2019-03-20,0,376
2019-03-21,0,360
2019-03-22,0,360
2019-03-25,0,370
2019-03-26,0,370
2019-03-27,0,366
2019-03-28,0,366
2019-03-29,0,366
2019-04-01,0,366
2019-04-02,0,362
2019-04-03,0,340
2019-04-04,0,334
2019-04-05,0,334
2019-04-08,0,334
2019-04-09,0,334
2019-04-10,0,334
2019-04-11,0,324
2019-04-12,0,324
2019-04-15,0,334
2019-04-16,0,334
2019-04-17,0,334
2019-04-18,0,334
2019-04-19,0,334
2019-04-22,0,334
2019-04-23,0,334
2019-04-24,0,344
2019-04-25,0,350
2019-04-26,0,364
2019-04-29,0,364
2019-04-30,0,364
2019-05-02,0,354
2019-05-03,0,354
2019-05-07,0,354
2019-05-08,0,361
2019-05-09,0,364
2019-05-10,0,369
2019-05-13,0,360
2019-05-14,0,360
2019-05-15,0,376
2019-05-16,0,361
2019-05-17,0,390
2019-05-20,0,460
2019-05-21,0,432
2019-05-22,0,402
2019-05-23,0,407
2019-05-24,0,402
2019-05-27,0,410
2019-05-28,0,420
2019-05-29,0,430
2019-05-30,0,416
2019-05-31,0,416
2019-06-03,0,432
2019-06-04,0,464
2019-06-05,0,464
2019-06-07,0,506
2019-06-10,0,506
2019-06-11,0,506
2019-06-12,0,550
2019-06-13,0,600
2019-06-14,0,620
2019-06-17,0,610
2019-06-18,0,630
2019-06-19,0,620
2019-06-20,0,600
2019-06-21,0,600
2019-06-24,0,600
2019-06-25,0,590
2019-06-26,0,590
2019-06-27,0,670
2019-06-28,0,760
2019-07-01,0,760
2019-07-02,0,740
2019-07-03,0,710
2019-07-04,0,670
2019-07-05,0,690
2019-07-08,0,680
2019-07-09,0,740
2019-07-10,0,750
2019-07-11,0,820
2019-07-12,0,870
2019-07-15,0,760
2019-07-16,0,760
2019-07-17,0,720
2019-07-18,0,670
2019-07-19,0,690
2019-07-22,0,860
2019-07-23,0,750
2019-07-24,0,690
2019-07-25,0,710
2019-07-26,0,700
2019-07-29,0,740
2019-07-30,0,740
2019-07-31,0,720
2019-08-01,0,780
2019-08-02,0,850
2019-08-05,0,830
2019-08-06,0,800
2019-08-07,0,820
2019-08-08,0,940
2019-08-09,0,900
2019-08-12,0,840
2019-08-13,0,820
2019-08-14,0,820
2019-08-16,0,880
2019-08-19,0,820
2019-08-20,0,820
2019-08-21,0,840
2019-08-22,0,880
2019-08-23,0,880
2019-08-26,0,940
2019-08-27,0,960
2019-08-28,0,960
2019-08-29,0,1000
2019-08-30,0,1040
2019-09-02,0,1020
2019-09-03,0,1140
2019-09-04,0,1260
2019-09-05,0,1320
2019-09-06,0,1320
2019-09-09,0,1420
2019-09-10,0,1360
2019-09-11,0,1370
2019-09-16,0,1280
2019-09-17,0,1400
2019-09-18,0,1440
2019-09-19,0,1440
2019-09-20,0,1520
2019-09-23,0,1840
2019-09-24,0,1760
2019-09-25,0,1740
2019-09-26,0,1840
2019-09-27,0,1780
2019-09-30,0,1960
2019-10-01,0,2060
2019-10-02,0,2060
2019-10-04,0,2200
2019-10-07,0,1820
2019-10-08,0,1720
2019-10-10,0,1560
2019-10-11,0,1520
2019-10-14,0,1480
2019-10-15,0,1440
2019-10-16,0,1520
2019-10-17,0,1620
2019-10-18,0,1600
2019-10-21,0,1548
2019-10-22,0,1518
2019-10-23,0,1480
2019-10-24,0,1430
2019-10-25,0,1405
2019-10-28,0,1220
2019-10-29,0,1200
2019-10-30,0,1220
2019-10-31,0,1140
2019-11-01,0,1080
2019-11-04,0,940
2019-11-05,0,940
2019-11-06,0,910
2019-11-07,0,860
2019-11-08,0,880
2019-11-11,0,910
2019-11-12,0,910
2019-11-13,0,910
2019-11-14,0,930
2019-11-15,0,1000
2019-11-18,0,1100
2019-11-19,0,1100
2019-11-20,0,1100
2019-11-21,0,1060
2019-11-22,0,1020
2019-11-25,0,950
2019-11-26,0,930
2019-11-27,0,890
2019-11-28,0,940
2019-11-29,0,950
2019-12-02,0,960
2019-12-03,0,920
2019-12-04,0,980
2019-12-05,0,990
2019-12-09,0,1020
2019-12-10,0,960
2019-12-11,0,980
2019-12-12,0,1000
2019-12-13,0,970
2019-12-16,0,990
2019-12-17,0,990
2019-12-18,0,1020
2019-12-19,0,1000
2019-12-20,0,1000
2019-12-23,0,1000
2019-12-24,0,900
2019-12-26,0,920
2019-12-27,0,980
2019-12-30,0,1040
2019-12-31,0,1160
2020-01-02,0,1189
2020-01-03,0,1090
2020-01-06,0,1050
2020-01-07,0,1110
2020-01-08,0,1080
2020-01-09,0,1008
2020-01-10,0,1008
2020-01-13,0,996
2020-01-14,0,1016
