,date,sun,price
419,2016-08-24,19.95,840.0
420,2016-08-25,20.12,840.0
421,2016-08-26,8.93,860.0
422,2016-08-29,21.22,860.0
423,2016-08-30,17.61,880.0
424,2016-08-31,18.44,910.0
425,2016-09-01,18.04,910.0
426,2016-09-02,9.32,910.0
427,2016-09-05,12.98,910.0
428,2016-09-06,5.82,910.0
429,2016-09-07,5.14,920.0
430,2016-09-08,17.62,920.0
431,2016-09-09,17.26,910.0
432,2016-09-12,12.98,910.0
433,2016-09-13,15.86,920.0
434,2016-09-19,9.59,920.0
435,2016-09-20,18.7,920.0
436,2016-09-21,10.64,940.0
437,2016-09-22,15.74,940.0
438,2016-09-23,15.37,940.0
439,2016-09-26,9.59,930.0
440,2016-09-27,16.1,930.0
441,2016-09-28,2.67,920.0
442,2016-09-29,3.28,920.0
443,2016-09-30,2.7,920.0
444,2016-10-04,13.66,920.0
445,2016-10-05,8.6,970.0
446,2016-10-06,16.6,970.0
447,2016-10-07,3.82,970.0
448,2016-10-10,8.97,970.0
449,2016-10-11,6.52,970.0
450,2016-10-12,11.9,970.0
451,2016-10-13,5.74,970.0
452,2016-10-14,14.81,970.0
453,2016-10-17,9.39,970.0
454,2016-10-18,11.2,980.0
455,2016-10-19,11.2,980.0
456,2016-10-20,5.97,980.0
457,2016-10-21,2.7,980.0
458,2016-10-24,6.91,980.0
459,2016-10-25,5.65,980.0
460,2016-10-26,6.47,980.0
461,2016-10-27,5.67,980.0
462,2016-10-28,2.88,980.0
463,2016-10-31,3.11,980.0
464,2016-11-01,8.35,980.0
465,2016-11-02,12.32,980.0
466,2016-11-03,11.36,980.0
467,2016-11-04,11.9,980.0
468,2016-11-07,8.62,990.0
469,2016-11-08,8.08,1040.0
470,2016-11-09,12.23,1040.0
471,2016-11-10,2.0,1040.0
472,2016-11-11,10.27,1040.0
473,2016-11-14,2.71,1040.0
474,2016-11-15,11.08,1040.0
475,2016-11-16,11.17,1050.0
476,2016-11-17,8.22,1050.0
477,2016-11-18,2.45,1050.0
478,2016-11-21,2.67,1050.0
479,2016-11-22,4.0,1050.0
480,2016-11-23,9.25,1050.0
481,2016-11-24,9.35,1050.0
482,2016-11-25,7.24,1030.0
483,2016-11-28,8.84,1030.0
484,2016-11-29,9.96,1030.0
485,2016-11-30,2.14,1030.0
486,2016-12-01,8.3,1030.0
487,2016-12-05,6.51,1040.0
488,2016-12-06,9.28,1070.0
489,2016-12-07,5.0,1060.0
490,2016-12-08,8.56,1060.0
491,2016-12-09,7.57,1060.0
492,2016-12-12,3.64,1060.0
493,2016-12-13,4.5,1060.0
494,2016-12-14,2.57,1070.0
495,2016-12-15,5.46,1070.0
496,2016-12-16,8.34,1060.0
497,2016-12-19,2.09,1060.0
498,2016-12-20,8.51,1060.0
499,2016-12-21,2.96,1060.0
500,2016-12-22,0.56,1080.0
501,2016-12-23,4.27,1070.0
502,2016-12-26,1.01,1070.0
503,2016-12-27,3.9,1060.0
504,2016-12-28,10.14,1060.0
505,2016-12-29,3.81,1060.0
506,2016-12-30,9.95,1060.0
507,2017-01-02,8.39,1060.0
508,2017-01-03,9.1,1070.0
509,2017-01-04,6.84,1100.0
510,2017-01-05,2.78,1130.0
511,2017-01-06,6.94,1130.0
512,2017-01-09,6.92,1260.0
513,2017-01-10,6.02,1260.0
514,2017-01-11,10.16,1270.0
515,2017-01-12,5.35,1270.0
516,2017-01-13,6.21,1240.0
517,2017-01-16,10.48,1250.0
518,2017-01-17,7.49,1290.0
519,2017-01-18,7.66,1290.0
520,2017-01-19,8.6,1290.0
521,2017-01-20,5.12,1290.0
522,2017-01-23,4.02,1290.0
523,2017-01-24,10.3,1300.0
524,2017-01-25,10.39,1300.0
525,2017-01-26,10.72,1300.0
526,2017-01-31,12.02,1300.0
527,2017-02-01,9.45,1300.0
528,2017-02-02,12.88,1330.0
529,2017-02-03,7.99,1330.0
530,2017-02-06,11.63,1330.0
531,2017-02-07,11.62,1340.0
532,2017-02-08,5.18,1340.0
533,2017-02-09,8.43,1340.0
534,2017-02-10,6.81,1340.0
535,2017-02-13,12.25,1340.0
536,2017-02-14,13.65,1360.0
537,2017-02-15,13.99,1360.0
538,2017-02-16,6.87,1340.0
539,2017-02-17,11.96,1330.0
540,2017-02-20,10.61,1330.0
541,2017-02-21,14.62,1330.0
542,2017-02-22,1.04,1350.0
