date,income,price
2017-07-25,148406200,1260
2017-07-26,148406200,1260
2017-07-27,148406200,1250
2017-07-28,148406200,1250
2017-07-31,148406200,1250
2017-08-01,148406200,1260
2017-08-02,148406200,1250
2017-08-03,148406200,1260
2017-08-04,148406200,1250
2017-08-07,148406200,1260
2017-08-08,148406200,1250
2017-08-09,148406200,1250
2017-08-10,148406200,1270
2017-08-11,148406200,1260
2017-08-14,148406200,1280
2017-08-16,148406200,1300
2017-08-17,148406200,1310
2017-08-18,148406200,1300
2017-08-21,148406200,1290
2017-08-22,148406200,1310
2017-08-23,148406200,1300
2017-08-24,148406200,1300
2017-08-25,148406200,1300
2017-08-28,148406200,1280
2017-08-29,148406200,1290
2017-08-30,148406200,1280
2017-08-31,148406200,1290
2017-09-01,148406200,1300
2017-09-04,148406200,1290
2017-09-05,148406200,1300
2017-09-06,148406200,1290
2017-09-07,148406200,1290
2017-09-08,148406200,1290
2017-09-11,148406200,1290
2017-09-12,148406200,1290
2017-09-13,148406200,1290
2017-09-14,148406200,1290
2017-09-15,148406200,1290
2017-09-18,148406200,1280
2017-09-19,148406200,1290
2017-09-20,148406200,1280
2017-09-21,148406200,1280
2017-09-22,148406200,1260
2017-09-25,148406200,1260
2017-09-26,148406200,1260
2017-09-27,148406200,1260
2017-09-28,148406200,1240
2017-09-29,148406200,1250
2017-10-10,148406200,1220
2017-10-11,148406200,1210
2017-10-12,148406200,1240
2017-10-13,148406200,1240
2017-10-16,148406200,1240
2017-10-17,148406200,1240
2017-10-18,148406200,1260
2017-10-19,148406200,1260
2017-10-20,148406200,1260
2017-10-23,148406200,1260
2017-10-24,148406200,1270
2017-10-25,148406200,1250
2017-10-26,148406200,1240
2017-10-27,148406200,1240
2017-10-30,148406200,1250
2017-10-31,148406200,1250
2017-11-01,148406200,1250
2017-11-02,148406200,1240
2017-11-03,148406200,1240
2017-11-06,148406200,1250
2017-11-07,148406200,1250
2017-11-08,148406200,1260
2017-11-09,148406200,1260
2017-11-10,148406200,1260
2017-11-13,148406200,1260
2017-11-14,148406200,1240
2017-11-15,148406200,1240
2017-11-16,148406200,1240
2017-11-17,148406200,1240
2017-11-20,148406200,1250
2017-11-21,148406200,1250
2017-11-22,148406200,1250
2017-11-23,148406200,1250
2017-11-24,148406200,1250
2017-11-27,148406200,1240
2017-11-28,148406200,1240
2017-11-29,148406200,1240
2017-11-30,148406200,1240
2017-12-04,148406200,1240
2017-12-05,148406200,1230
2017-12-06,148406200,1230
2017-12-07,148406200,1230
2017-12-08,148406200,1230
2017-12-11,148406200,1230
2017-12-12,148406200,1230
