date,uga,price
2019-07-31,64.57,380
2019-08-01,63.05,405
2019-08-02,60.33,465
2019-08-05,59.68,445
2019-08-06,58.75,410
2019-08-07,57.89,420
2019-08-08,56.83,430
2019-08-09,57,410
2019-08-12,57.8125,440
2019-08-13,57.76,430
2019-08-14,59.66,440
2019-08-16,58.2,440
2019-08-19,58.4,480
2019-08-20,59.24,495
2019-08-21,60.09,495
2019-08-22,60.29,515
2019-08-23,59.43,520
2019-08-26,58.59,510
2019-08-27,58.07,500
2019-08-28,58.99,510
2019-08-29,59.32,520
2019-08-30,59.62,540
2019-09-02,57.62,560
2019-09-03,56.48,560
2019-09-04,56.72,640
2019-09-05,58.53,730
2019-09-06,59.23,700
2019-09-09,60.12,670
2019-09-10,60.89,650
2019-09-11,60.89,670
2019-09-16,63.88,640
2019-09-17,67.53,620
2019-09-18,63.3,620
2019-09-19,63.23,620
2019-09-20,64.28,655
2019-09-23,63.59,690
2019-09-24,63.46,715
2019-09-25,61.57,695
2019-09-26,61.73,690
2019-09-27,62.07,640
2019-09-30,60.94,740
2019-10-01,59.22,860
2019-10-02,58.67,920
2019-10-04,57.84,1160
2019-10-07,58.24,1050
2019-10-08,58.03,1050
2019-10-10,57.77,955
2019-10-11,60.44,910
2019-10-14,60.03,940
2019-10-15,59.42,940
2019-10-16,58.8,1060
2019-10-17,59.23,1010
2019-10-18,59.7,990
2019-10-21,59.38,1060
2019-10-22,58.95,1070
2019-10-23,59.67,1050
2019-10-24,61.04,1100
2019-10-25,61.46,1110
2019-10-28,61.06,1055
2019-10-29,61,1030
2019-10-30,61.32,1050
2019-10-31,61.1,1085
2019-11-01,58.72,1040
2019-11-04,60.74,1045
2019-11-05,61.34,1010
2019-11-06,61.49,1040
2019-11-07,61.13,1030
2019-11-08,60.88,1025
2019-11-11,61.15,995
2019-11-12,62.16,995
2019-11-13,61.48,980
2019-11-14,62.47,990
2019-11-15,61.93,1030
2019-11-18,62.84,1070
2019-11-19,61.86,1070
2019-11-20,60.45,1070
2019-11-21,62.13,1050
2019-11-22,63.74,1060
2019-11-25,63.43,1030
2019-11-26,63.1,1020
2019-11-27,63.69,1000
