date,place,gangsu,price
2017-08-11,100,20.8,1420
2017-08-14,100,33.6,1620
2017-08-16,100,14.5,1560
2017-08-17,100,8.9,1570
2017-08-18,100,2.7,1630
2017-08-21,100,16,1670
2017-08-22,100,0.8,1720
2017-08-23,100,21.6,1820
2017-08-24,100,27.6,1720
2017-08-25,100,,1760
2017-08-28,100,9.7,1760
2017-08-29,100,0.1,1720
2017-08-30,100,,1740
2017-08-31,100,,1660
2017-09-01,100,,1840
2017-09-04,100,,2000
2017-09-05,100,0.7,2060
2017-09-06,100,1.6,2040
2017-09-07,100,,2020
2017-09-08,100,,1920
2017-09-11,100,11.8,1840
2017-09-12,100,,1800
2017-09-13,100,,1780
2017-09-14,100,,1740
2017-09-15,100,,1720
2017-09-18,100,,1740
2017-09-19,100,31.1,1680
2017-09-20,100,,1700
2017-09-21,100,,1620
2017-09-22,100,,1680
2017-09-25,100,,1620
2017-09-26,100,,1520
2017-09-27,100,12,1480
2017-09-28,100,1.7,1360
2017-09-29,100,,1420
2017-10-10,100,,1300
2017-10-11,100,17.1,1280
2017-10-12,100,1.7,1020
2017-10-13,100,,840
2017-10-16,100,,740
2017-10-17,100,,660
2017-10-18,100,1.6,640
2017-10-19,100,0,580
2017-10-20,100,,540
2017-10-23,100,,570
2017-10-24,100,,570
2017-10-25,100,,570
2017-10-26,100,,570
2017-10-27,100,0,570
2017-10-30,100,,576
2017-10-31,100,,576
2017-11-01,100,,540
2017-11-02,100,,536
2017-11-03,100,0.9,546
2017-11-06,100,,540
2017-11-07,100,,546
2017-11-08,100,,596
2017-11-09,100,,600
2017-11-10,100,6.6,620
2017-11-13,100,0.5,620
2017-11-14,100,0.3,600
2017-11-15,100,,600
2017-11-16,100,,616
2017-11-17,100,,644
2017-11-20,100,,624
2017-11-21,100,,650
2017-11-22,100,0.2,656
2017-11-23,100,,700
2017-11-24,100,0.6,720
2017-11-27,100,,620
2017-11-28,100,,596
2017-11-29,100,0,596
2017-11-30,100,,596
2017-12-04,100,0.6,584
2017-12-05,100,,550
2017-12-06,100,0.2,546
2017-12-07,100,0,550
2017-12-08,100,,622
2017-12-11,100,,642
2017-12-12,100,,642
2017-12-13,100,,642
2017-12-14,100,0,660
2017-12-15,100,,666
2017-12-18,100,0,686
2017-12-19,100,,690
2017-12-20,100,0,700
2017-12-21,100,,704
2017-12-22,100,,704
2017-12-26,100,,690
2017-12-27,100,,696
2017-12-28,100,,690
2017-12-29,100,,680
2018-01-02,100,,685
2018-01-03,100,,683
2018-01-04,100,,685
2018-01-05,100,,685
2018-01-08,100,0,700
2018-01-09,100,,700
2018-01-10,100,,700
2018-01-11,100,,700
2018-01-12,100,,696
2018-01-15,100,0.1,680
2018-01-16,100,,700
2018-01-17,100,1.7,640
2018-01-18,100,,626
2018-01-19,100,,630
2018-01-22,100,2.5,636
2018-01-23,100,0,650
2018-01-24,100,,646
2018-01-25,100,,640
2018-01-26,100,,640
2018-01-29,100,,690
2018-01-30,100,0,780
2018-01-31,100,0,830
2018-02-01,100,,836
2018-02-02,100,0,910
2018-02-05,100,,1000
2018-02-06,100,,1060
2018-02-07,100,,1090
2018-02-08,100,,1050
2018-02-09,100,,1020
2018-02-12,100,,930
2018-02-13,100,0,910
2018-02-14,100,,880
2018-02-19,100,,820
2018-02-20,100,,840
2018-02-21,100,,840
2018-02-22,100,0,820
2018-02-23,100,0.3,820
2018-02-26,100,,850
2018-02-27,100,,860
