date,gangsu,price
2019-06-24,,460
2019-06-25,,460
2019-06-26,40.9,440
2019-06-27,1.7,490
2019-06-28,,510
2019-07-01,1.6,460
2019-07-02,,460
2019-07-03,,450
2019-07-04,,440
2019-07-05,,440
2019-07-08,,460
2019-07-09,,480
2019-07-10,26.1,510
2019-07-11,0.7,640
2019-07-12,,595
2019-07-15,144.1,500
2019-07-16,22.8,490
2019-07-17,0.2,465
2019-07-18,12.9,440
2019-07-19,2.3,460
2019-07-22,,520
2019-07-23,0.3,450
2019-07-24,,440
2019-07-25,2.7,410
2019-07-26,1.8,400
2019-07-29,,398
2019-07-30,,380
2019-07-31,,380
2019-08-01,0,405
2019-08-02,,465
2019-08-05,,445
2019-08-06,0.2,410
2019-08-07,1.2,420
2019-08-08,0.9,430
2019-08-09,,410
2019-08-12,4.5,440
2019-08-13,,430
2019-08-14,,440
2019-08-16,4.8,440
2019-08-19,,480
2019-08-20,,495
2019-08-21,28,495
2019-08-22,53.2,515
2019-08-23,,520
2019-08-26,,510
2019-08-27,25.7,500
2019-08-28,1.1,510
2019-08-29,,520
2019-08-30,,540
2019-09-02,4.6,560
2019-09-03,20.5,560
2019-09-04,0.9,640
2019-09-05,0.3,730
2019-09-06,0.2,700
2019-09-09,3.8,670
2019-09-10,,650
2019-09-11,6.3,670
2019-09-16,,640
2019-09-17,,620
2019-09-18,,620
2019-09-19,,620
2019-09-20,,655
2019-09-23,,690
2019-09-24,,715
2019-09-25,,695
2019-09-26,,690
2019-09-27,,640
2019-09-30,,740
2019-10-01,58.9,860
2019-10-02,101.4,920
2019-10-04,,1160
2019-10-07,8.5,1050
2019-10-08,,1050
2019-10-10,,955
2019-10-11,,910
2019-10-14,,940
2019-10-15,,940
2019-10-16,,1060
2019-10-17,,1010
2019-10-18,0,990
2019-10-21,,1060
2019-10-22,,1070
2019-10-23,,1050
2019-10-24,,1100
2019-10-25,,1110
2019-10-28,,1055
2019-10-29,0.3,1030
2019-10-30,,1050
2019-10-31,,1085
2019-11-01,,1040
2019-11-04,,1045
2019-11-05,,1010
2019-11-06,,1040
2019-11-07,,1030
2019-11-08,,1025
2019-11-11,0.6,995
2019-11-12,,995
2019-11-13,,980
2019-11-14,,990
2019-11-15,,1030
2019-11-18,15.7,1070
2019-11-19,0,1070
2019-11-20,,1070
2019-11-21,,1050
2019-11-22,,1060
2019-11-25,,1030
2019-11-26,,1020
2019-11-27,,1000
2019-11-28,,1000
2019-11-29,,1000
2019-12-02,0.1,1050
2019-12-03,,1070
2019-12-04,,1070
2019-12-05,,1090
2019-12-09,,1200
2019-12-10,,1300
2019-12-11,0,1370
2019-12-12,,1370
2019-12-13,,1310
2019-12-16,,1330
2019-12-17,2.7,1390
2019-12-18,,1350
2019-12-19,,1300
2019-12-20,,1280
2019-12-23,0,1335
2019-12-24,,1330
2019-12-26,1.6,1295
2019-12-27,0.6,1270
2019-12-30,0.3,1289
2019-12-31,0.2,1330
2020-01-02,,1345
2020-01-03,,1390
2020-01-06,13.2,1355
2020-01-07,24.8,1290
2020-01-08,2.4,1205
2020-01-09,0,1120
2020-01-10,,1095
2020-01-13,0,1170
2020-01-14,,1140
2020-01-15,,1170
2020-01-16,,1130
2020-01-17,,1070
2020-01-20,0,1005
2020-01-21,,955
2020-01-22,5.1,970
2020-01-23,1,960
2020-01-28,,925
2020-01-29,8.2,840
2020-01-30,,860
2020-01-31,,810
2020-02-03,,710
2020-02-04,,690
2020-02-05,0,620
2020-02-06,,600
2020-02-07,,590
2020-02-10,,560
2020-02-11,,630
2020-02-12,10.5,645
